Gene	sample	expression
A1CF	TCGA-AB-2910-03	0
ABI1	TCGA-AB-2910-03	5.10597276688
ABL1	TCGA-AB-2910-03	4.90638256073
ABL2	TCGA-AB-2910-03	2.58255600929
ACKR3	TCGA-AB-2910-03	0.485537260771
ACSL3	TCGA-AB-2910-03	4.40327882767
ACSL6	TCGA-AB-2910-03	0.613631606102
ACVR1	TCGA-AB-2910-03	3.16835832596
ACVR2A	TCGA-AB-2910-03	0.903094649315
AFF1	TCGA-AB-2910-03	4.67582416534
AFF3	TCGA-AB-2910-03	4.72082328796
AFF4	TCGA-AB-2910-03	4.06950998306
AKAP9	TCGA-AB-2910-03	4.3709025383
AKT1	TCGA-AB-2910-03	7.58751344681
AKT2	TCGA-AB-2910-03	7.22059679031
AKT3	TCGA-AB-2910-03	2.42229318619
ALDH2	TCGA-AB-2910-03	5.16232252121
ALK	TCGA-AB-2910-03	0.0287099014968
AMER1	TCGA-AB-2910-03	2.47769522667
ANK1	TCGA-AB-2910-03	1.97822713852
APC	TCGA-AB-2910-03	3.31466698647
APOBEC3B	TCGA-AB-2910-03	2.92221093178
AR	TCGA-AB-2910-03	0.378614395857
ARAF	TCGA-AB-2910-03	6.07041025162
ARHGAP26	TCGA-AB-2910-03	4.23268127441
ARHGAP5	TCGA-AB-2910-03	1.22656488419
ARHGEF10	TCGA-AB-2910-03	1.58019828796
ARHGEF10L	TCGA-AB-2910-03	4.22113227844
ARHGEF12	TCGA-AB-2910-03	2.30744338036
ARID1A	TCGA-AB-2910-03	6.94921159744
ARID1B	TCGA-AB-2910-03	4.65190553665
ARID2	TCGA-AB-2910-03	5.55185842514
ARNT	TCGA-AB-2910-03	5.49599790573
ASPSCR1	TCGA-AB-2910-03	4.58072805405
ASXL1	TCGA-AB-2910-03	5.62030410767
ASXL2	TCGA-AB-2910-03	4.44294166565
ATF1	TCGA-AB-2910-03	4.95280838013
ATIC	TCGA-AB-2910-03	7.22546386719
ATM	TCGA-AB-2910-03	5.74816942215
ATP1A1	TCGA-AB-2910-03	7.6230301857
ATP2B3	TCGA-AB-2910-03	0.111167453229
ATR	TCGA-AB-2910-03	4.40118265152
ATRX	TCGA-AB-2910-03	4.63520145416
AXIN1	TCGA-AB-2910-03	4.60939216614
AXIN2	TCGA-AB-2910-03	0.704955875874
B2M	TCGA-AB-2910-03	11.638551712
BAP1	TCGA-AB-2910-03	5.84745311737
BARD1	TCGA-AB-2910-03	3.31178855896
BAX	TCGA-AB-2910-03	8.20549106598
BAZ1A	TCGA-AB-2910-03	7.45841884613
BCL10	TCGA-AB-2910-03	3.18748497963
BCL11A	TCGA-AB-2910-03	5.72569847107
BCL11B	TCGA-AB-2910-03	0.948698222637
BCL2	TCGA-AB-2910-03	4.08663368225
BCL2L12	TCGA-AB-2910-03	5.01440000534
BCL3	TCGA-AB-2910-03	5.20044326782
BCL6	TCGA-AB-2910-03	4.06781721115
BCL7A	TCGA-AB-2910-03	3.97359848022
BCL9	TCGA-AB-2910-03	2.01435661316
BCL9L	TCGA-AB-2910-03	3.39099264145
BCLAF1	TCGA-AB-2910-03	6.48587226868
BCOR	TCGA-AB-2910-03	7.07215118408
BCORL1	TCGA-AB-2910-03	3.07558822632
BCR	TCGA-AB-2910-03	4.09256362915
BIRC3	TCGA-AB-2910-03	2.33344244957
BIRC6	TCGA-AB-2910-03	6.3808016777
BLM	TCGA-AB-2910-03	4.51161623001
BMP5	TCGA-AB-2910-03	0.0567235089839
BMPR1A	TCGA-AB-2910-03	1.15709137917
BRAF	TCGA-AB-2910-03	4.10179138184
BRCA1	TCGA-AB-2910-03	5.24715995789
BRCA2	TCGA-AB-2910-03	4.28537988663
BRD3	TCGA-AB-2910-03	4.49182891846
BRD4	TCGA-AB-2910-03	5.76259756088
BRIP1	TCGA-AB-2910-03	3.18267798424
BTG1	TCGA-AB-2910-03	6.78512859344
BTK	TCGA-AB-2910-03	6.4807305336
BUB1B	TCGA-AB-2910-03	4.37851715088
C15orf65	TCGA-AB-2910-03	2.46466016769
CACNA1D	TCGA-AB-2910-03	0.150686472654
CALR	TCGA-AB-2910-03	10.0347747803
CAMTA1	TCGA-AB-2910-03	5.96043586731
CANT1	TCGA-AB-2910-03	4.93597364426
CARD11	TCGA-AB-2910-03	1.87190592289
CARS	TCGA-AB-2910-03	5.26644229889
CASP3	TCGA-AB-2910-03	5.13792848587
CASP8	TCGA-AB-2910-03	4.96161603928
CASP9	TCGA-AB-2910-03	4.49890136719
CBFA2T3	TCGA-AB-2910-03	2.83794546127
CBFB	TCGA-AB-2910-03	6.11829948425
CBL	TCGA-AB-2910-03	4.77348804474
CBLB	TCGA-AB-2910-03	3.67583632469
CBLC	TCGA-AB-2910-03	0.0427840352058
CCDC6	TCGA-AB-2910-03	4.04178237915
CCNB1IP1	TCGA-AB-2910-03	5.91213703156
CCNC	TCGA-AB-2910-03	4.70822143555
CCND1	TCGA-AB-2910-03	0.85608112812
CCND2	TCGA-AB-2910-03	1.87976586819
CCND3	TCGA-AB-2910-03	8.83765411377
CCNE1	TCGA-AB-2910-03	5.06821584702
CCR4	TCGA-AB-2910-03	0.454283595085
CCR7	TCGA-AB-2910-03	3.20637512207
CD209	TCGA-AB-2910-03	0.687133491039
